Study_site,Plot,Canopy,Cover,Sampled_distance_or_area,Sampling_method,Method_cover
Agadir,3_3,Genista_sp1,1.023785445,326.4228069,pCO,plot
Agadir,3_3,Globularia_alypum,1.547107029,326.4228069,pCO,plot
Agadir,3_3,Olea_europaea,2.920976568,326.4228069,pCO,plot
Agadir,3_3,Ononis_natrix,0.51971247,326.4228069,pCO,plot
Agadir,3_3,Open,49.99957005,326.4228069,pCO,plot
Agadir,3_3,Periploca_laevigata,1.188601668,326.4228069,pCO,plot
Agadir,3_3,Pistacia_lentiscus,4.374246623,326.4228069,pCO,plot
Agadir,3_3,Rhus_tripartita,6.178803813,326.4228069,pCO,plot
Agadir,3_3,Tetraclinis_articulata,12.37300651,326.4228069,pCO,plot
Agadir,3_4,Acacia_gummifera,4.544176278,396.9183349,pCO,plot
Agadir,3_4,Argania_spinosa,22.75550934,396.9183349,pCO,plot
Agadir,3_4,Calicotome_sp1,0.108830697,396.9183349,pCO,plot
Agadir,3_4,Genista_sp1,0.619345602,396.9183349,pCO,plot
Agadir,3_4,Globularia_alypum,0.192927144,396.9183349,pCO,plot
Agadir,3_4,Olea_europaea,4.105885382,396.9183349,pCO,plot
Agadir,3_4,Ononis_natrix,0.039574799,396.9183349,pCO,plot
Agadir,3_4,Open,50.00020975,396.9183349,pCO,plot
Agadir,3_4,Periploca_laevigata,0.534259785,396.9183349,pCO,plot
Agadir,3_4,Pistacia_lentiscus,5.748239535,396.9183349,pCO,plot
Agadir,3_4,Rhus_tripartita,2.181560787,396.9183349,pCO,plot
Agadir,3_4,Tetraclinis_articulata,9.169480895,396.9183349,pCO,plot
Agadir,3_5,Acacia_gummifera,1.103933753,310.9054293,pCO,plot
Agadir,3_5,Argania_spinosa,27.18152674,310.9054293,pCO,plot
Agadir,3_5,Genista_sp1,1.336340859,310.9054293,pCO,plot
Agadir,3_5,Olea_europaea,5.252400593,310.9054293,pCO,plot
Agadir,3_5,Open,49.99912686,310.9054293,pCO,plot
Agadir,3_5,Periploca_laevigata,1.103933753,310.9054293,pCO,plot
Agadir,3_5,Rhus_pentaphylla,2.652472405,310.9054293,pCO,plot
Agadir,3_5,Rhus_tripartita,4.319740772,310.9054293,pCO,plot
Agadir,3_5,Tetraclinis_articulata,7.050524268,310.9054293,pCO,plot
Agadir,4_1,Acacia_gummifera,5.184876107,402.7817971,pCO,plot
Agadir,4_1,Argania_spinosa,14.48606416,402.7817971,pCO,plot
Agadir,4_1,Globularia_alypum,1.403952914,402.7817971,pCO,plot
Agadir,4_1,Olea_europaea,13.626143,402.7817971,pCO,plot
Agadir,4_1,Open,49.99977692,402.7817971,pCO,plot
Agadir,4_1,Periploca_laevigata,0.73707528,402.7817971,pCO,plot
Agadir,4_1,Pistacia_lentiscus,8.059079712,402.7817971,pCO,plot
Agadir,4_1,Tetraclinis_articulata,4.260607107,402.7817971,pCO,plot
Agadir,4_1,Ziziphus_lotus,2.242424793,402.7817971,pCO,plot
Agadir,4_2,Acacia_gummifera,0.996584075,225.393803,pCO,plot
Agadir,4_2,Argania_spinosa,25.33274905,225.393803,pCO,plot
Agadir,4_2,Olea_europaea,10.94848659,225.393803,pCO,plot
Agadir,4_2,Open,50.00004371,225.393803,pCO,plot
Agadir,4_2,Rhus_tripartita,0.585406031,225.393803,pCO,plot
Agadir,4_2,Tetraclinis_articulata,9.958880726,225.393803,pCO,plot
Agadir,4_2,Ziziphus_lotus,2.177849815,225.393803,pCO,plot
Agadir,4_3,Argania_spinosa,18.04299033,201.5405114,pCO,plot
Agadir,4_3,Olea_europaea,8.129088082,201.5405114,pCO,plot
Agadir,4_3,Open,49.99987314,201.5405114,pCO,plot
Agadir,4_3,Periploca_laevigata,2.891554821,201.5405114,pCO,plot
Agadir,4_3,Pistacia_lentiscus,5.907812816,201.5405114,pCO,plot
Agadir,4_3,Rhus_tripartita,3.201364266,201.5405114,pCO,plot
Agadir,4_3,Tetraclinis_articulata,11.82731655,201.5405114,pCO,plot
Agadir,4_4,Argania_spinosa,26.93145424,221.6377174,pCO,plot
Agadir,4_4,Calicotome_sp1,0.637850232,221.6377174,pCO,plot
Agadir,4_4,Olea_europaea,7.158097046,221.6377174,pCO,plot
Agadir,4_4,Open,50.00051495,221.6377174,pCO,plot
Agadir,4_4,Periploca_laevigata,0.055811895,221.6377174,pCO,plot
Agadir,4_4,Rhus_tripartita,6.307630071,221.6377174,pCO,plot
Agadir,4_4,Tetraclinis_articulata,8.908641573,221.6377174,pCO,plot
Agadir,4_5,Acacia_gummifera,0.573205694,460.3823477,pCO,plot
Agadir,4_5,Argania_spinosa,12.9141878,460.3823477,pCO,plot
Agadir,4_5,Calicotome_sp1,0.271249123,460.3823477,pCO,plot
Agadir,4_5,Ceratonia_siliqua,3.086098511,460.3823477,pCO,plot
Agadir,4_5,Olea_europaea,4.786949927,460.3823477,pCO,plot
Agadir,4_5,Open,49.99974503,460.3823477,pCO,plot
Agadir,4_5,Osyris_quadripartita,1.19076659,460.3823477,pCO,plot
Agadir,4_5,Periploca_laevigata,5.213442259,460.3823477,pCO,plot
Agadir,4_5,Pistacia_lentiscus,6.482683439,460.3823477,pCO,plot
Agadir,4_5,Rhus_tripartita,5.41645261,460.3823477,pCO,plot
Agadir,4_5,Tetraclinis_articulata,8.359249698,460.3823477,pCO,plot
Agadir,4_5,Ziziphus_lotus,1.705969326,460.3823477,pCO,plot
Alcornocales,1,Calicotome_villosa,0.574,500,RN,plot
Alcornocales,1,Cistus_salvifolius,0.032,500,RN,plot
